nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature3	mshuffle
114	80	0	2	4	0.2	5	544	0	3.73E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.73E-01	4.30E+00	0	0
115	80	0	2	4	0.2	7	545	0	3.75E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.75E-01	4.30E+00	0	0
116	21	0	2	4	0.4	1	546	0	5.31E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04761904762	0	5.31E-01	2.16E+00	0	0
117	21	0	2	4	0.4	3	547	0	5.56E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04761904762	0	5.56E-01	2.15E+00	0	0
118	21	0	2	4	0.4	5	548	0	5.64E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04761904762	0	5.64E-01	2.15E+00	0	0
119	22	0	2	4	0.4	7	549	0	5.69E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04545454545	0	5.69E-01	2.15E+00	0	0
120	22	0	2	4	0.6	1	550	0	5.41E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04545454545	0	7.06E-01	1.73E+00	0	0
121	16	0	2	4	0.6	3	551	0	7.44E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0	7.44E-01	1.44E+00	0	0
122	17	0	2	4	0.6	5	552	0	7.56E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0	7.56E-01	1.43E+00	0	0
123	17	0	2	4	0.6	7	553	0	7.62E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0	7.62E-01	1.43E+00	0	0
124	40	1	2	4	0.8	1	554	2.5	3.54E-01	1.33E+08	7.14E+07	0.8	2308964352	0.025	0.001470588235	8.81E-01	1.73E+00	0	0
125	12	1	2	4	0.8	3	555	0.75	8.16E-01	1.33E+08	7.14E+07	0.8	2308964352	0.08333333333	0.004901960784	9.31E-01	1.15E+00	0	0
126	14	3	2	4	0.8	5	556	2.625	9.48E-01	1.33E+08	7.14E+07	0.8	2308964352	0.07142857143	0.01127819549	9.48E-01	1.07E+00	0	0
127	11	0	2	4	0.8	7	557	0	9.56E-01	1.33E+08	7.14E+07	0.8	2308964352	0.09090909091	0	9.56E-01	1.07E+00	0	0
128	28	1	3	1	0.2	1	558	1.166666667	3.08E-01	1.33E+08	7.14E+07	0.8	1539309568	0.03571428571	0.001428571429	3.08E-01	4.49E+00	0	0
129	29	1	3	1	0.2	3	559	1.208333333	3.20E-01	1.33E+08	7.14E+07	0.8	1539309568	0.03448275862	0.001379310345	3.20E-01	4.46E+00	0	0
130	31	2	3	1	0.2	5	560	2.583333333	3.24E-01	1.33E+08	7.14E+07	0.8	1539309568	0.03225806452	0.002481389578	3.24E-01	4.45E+00	0	0
131	33	1	3	1	0.2	7	561	1.375	3.26E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0303030303	0.001212121212	3.26E-01	4.44E+00	0	0
132	21	0	3	1	0.4	1	562	0	4.83E-01	1.33E+08	7.14E+07	0.8	1539309568	0.04761904762	0	4.83E-01	2.25E+00	0	0
133	16	1	3	1	0.4	3	563	0.6666666667	5.08E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0625	0.0025	5.08E-01	2.23E+00	0	0
134	17	1	3	1	0.4	5	564	0.7083333333	5.16E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05882352941	0.002352941176	5.16E-01	2.22E+00	0	0
135	18	0	3	1	0.4	7	565	0	5.20E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05555555556	0	5.20E-01	2.22E+00	0	0
136	18	0	3	1	0.6	1	566	0	4.35E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05555555556	0	6.58E-01	1.80E+00	0	0
137	16	0	3	1	0.6	3	567	0	6.95E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0625	0	6.95E-01	1.49E+00	0	0
138	13	0	3	1	0.6	5	568	0	7.08E-01	1.33E+08	7.14E+07	0.8	1539309568	0.07692307692	0	7.08E-01	1.48E+00	0	0
139	15	0	3	1	0.6	7	569	0	7.14E-01	1.33E+08	7.14E+07	0.8	1539309568	0.06666666667	0	7.14E-01	1.48E+00	0	0
140	20	6	3	1	0.8	1	570	5	2.60E-01	1.33E+08	7.14E+07	0.8	1539309568	0.05	0.01	8.33E-01	1.80E+00	0	0
141	12	2	3	1	0.8	3	571	1	7.10E-01	1.33E+08	7.14E+07	0.8	1539309568	0.08333333333	0.00641025641	8.83E-01	1.19E+00	0	0
142	10	0	3	1	0.8	5	572	0	8.60E-01	1.33E+08	7.14E+07	0.8	1539309568	0.1	0	8.99E-01	1.11E+00	0	0
143	15	2	3	1	0.8	7	573	1.25	9.08E-01	1.33E+08	7.14E+07	0.8	1539309568	0.06666666667	0.005128205128	9.08E-01	1.11E+00	0	0
144	80	0	3	2	0.2	1	574	0	3.54E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0125	0	3.54E-01	4.49E+00	0	0
145	80	0	3	2	0.2	3	575	0	3.66E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0125	0	3.66E-01	4.46E+00	0	0
146	80	0	3	2	0.2	5	576	0	3.71E-01	1.33E+08	7.14E+07	0.8	1539309568	0.0125	0	3.71E-01	4.45E+00	0	0
