nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap
151	25	1	3	2	0.4	7	581	1.041666667	5.66E-01	1.33E+08	7.14E+07	0.8	1539309568
152	19	0	3	2	0.6	1	582	0	4.82E-01	1.33E+08	7.14E+07	0.8	1539309568
153	16	0	3	2	0.6	3	583	0	7.41E-01	1.33E+08	7.14E+07	0.8	1539309568
154	20	1	3	2	0.6	5	584	0.8333333333	7.54E-01	1.33E+08	7.14E+07	0.8	1539309568
155	18	2	3	2	0.6	7	585	1.5	7.60E-01	1.33E+08	7.14E+07	0.8	1539309568
156	30	0	3	2	0.8	1	586	0	2.99E-01	1.33E+08	7.14E+07	0.8	1539309568
157	14	1	3	2	0.8	3	587	0.5833333333	7.57E-01	1.33E+08	7.14E+07	0.8	1539309568
158	11	0	3	2	0.8	5	588	0	9.07E-01	1.33E+08	7.14E+07	0.8	1539309568
159	8.7	1	3	2	0.8	7	589	0.3625	9.54E-01	1.33E+08	7.14E+07	0.8	1539309568
160	80	0	4	1	0.2	1	0	0	3.52E-01	1.33E+08	7.14E+07	0.8	1154482176
161	80	0	4	1	0.2	3	0	0	3.64E-01	1.33E+08	7.14E+07	0.8	1154482176
162	80	0	4	1	0.2	5	0	0	3.68E-01	1.33E+08	7.14E+07	0.8	1154482176
163	80	0	4	1	0.2	7	0	0	3.70E-01	1.33E+08	7.14E+07	0.8	1154482176
164	80	0	4	1	0.4	1	0	0	5.27E-01	1.33E+08	7.14E+07	0.8	1154482176
165	80	0	4	1	0.4	3	0	0	5.52E-01	1.33E+08	7.14E+07	0.8	1154482176
166	80	0	4	1	0.4	5	0	0	5.60E-01	1.33E+08	7.14E+07	0.8	1154482176
167	80	0	4	1	0.4	7	0	0	5.64E-01	1.33E+08	7.14E+07	0.8	1154482176
168	80	0	4	1	0.6	1	0	0	4.22E-01	1.33E+08	7.14E+07	0.8	1154482176
169	80	0	4	1	0.6	3	0	0	7.39E-01	1.33E+08	7.14E+07	0.8	1154482176
170	80	0	4	1	0.6	5	0	0	7.52E-01	1.33E+08	7.14E+07	0.8	1154482176
171	80	0	4	1	0.6	7	0	0	7.58E-01	1.33E+08	7.14E+07	0.8	1154482176
172	80	0	4	1	0.8	1	0	0	2.43E-01	1.33E+08	7.14E+07	0.8	1154482176
173	80	0	4	1	0.8	3	0	0	6.97E-01	1.33E+08	7.14E+07	0.8	1154482176
174	80	0	4	1	0.8	5	0	0	8.47E-01	1.33E+08	7.14E+07	0.8	1154482176
175	80	0	4	1	0.8	7	0	0	9.22E-01	1.33E+08	7.14E+07	0.8	1154482176
176	80	0	4	2	0.2	1	0	0	4.14E-01	1.33E+08	7.14E+07	0.8	1154482176
177	80	0	4	2	0.2	3	0	0	4.26E-01	1.33E+08	7.14E+07	0.8	1154482176
178	80	0	4	2	0.2	5	0	0	4.30E-01	1.33E+08	7.14E+07	0.8	1154482176
179	80	0	4	2	0.2	7	0	0	4.32E-01	1.33E+08	7.14E+07	0.8	1154482176
180	80	0	4	2	0.4	1	0	0	5.89E-01	1.33E+08	7.14E+07	0.8	1154482176
181	80	0	4	2	0.4	3	0	0	6.14E-01	1.33E+08	7.14E+07	0.8	1154482176
182	80	0	4	2	0.4	5	0	0	6.22E-01	1.33E+08	7.14E+07	0.8	1154482176
183	80	0	4	2	0.4	7	0	0	6.26E-01	1.33E+08	7.14E+07	0.8	1154482176
184	80	0	4	2	0.6	1	0	0	4.84E-01	1.33E+08	7.14E+07	0.8	1154482176
185	80	0	4	2	0.6	3	0	0	8.01E-01	1.33E+08	7.14E+07	0.8	1154482176
186	80	0	4	2	0.6	5	0	0	8.14E-01	1.33E+08	7.14E+07	0.8	1154482176
187	80	0	4	2	0.6	7	0	0	8.20E-01	1.33E+08	7.14E+07	0.8	1154482176
188	80	0	4	2	0.8	1	0	0	1.82E-01	1.33E+08	7.14E+07	0.8	1154482176
189	80	0	4	2	0.8	3	0	0	6.57E-01	1.33E+08	7.14E+07	0.8	1154482176
190	80	0	4	2	0.8	5	0	0	8.15E-01	1.33E+08	7.14E+07	0.8	1154482176
191	80	0	4	2	0.8	7	0	0	8.94E-01	1.33E+08	7.14E+07	0.8	1154482176
